,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
151366,Papua New Guinea,Oil products,Total energy supply,2009,1.0,14974065460.0
151367,Papua New Guinea,Oil products,Transfers and recycled products,2009,0.0,-1879355520.0
151368,Papua New Guinea,Oil products,Transformation,2009,0.0,6557200000.0
151369,Papua New Guinea,Oil products,"Transformation in electricity, CHP and heat plants",2009,0.0,6557200000.0
151370,Papua New Guinea,Oil products,"consumption by manufacturing, construction and non-fuel mining industry",2009,0.0,171600000.0
151371,Papua New Guinea,Oil products,"consumption by other manuf., const. and non-fuel min. ind.",2009,0.0,171600000.0
151372,Papua New Guinea,Oil products,production from refineries,2009,0.0,7004211150.0
151373,Papua New Guinea,Oil products,Consumption by domestic aviation,2010,1.0,524600000.0
151374,Papua New Guinea,Oil products,Consumption by domestic navigation,2010,1.0,61000000.0
151375,Papua New Guinea,Oil products,Consumption by households,2010,1.0,472000000.0
151376,Papua New Guinea,Oil products,Consumption by industries not elsewhere specified,2010,1.0,178250002.2
151377,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel industry",2010,1.0,267510000.00000003
151378,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel mining industry",2010,2.0,4972190002.2
151379,Papua New Guinea,Oil products,Consumption by other,2010,2.0,1803650000.0
151380,Papua New Guinea,Oil products,Consumption by other consumers not elsewhere specified,2010,0.0,28600000.000000004
151381,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel ind.",2010,1.0,267510000.00000003
151382,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel min. ind.",2010,1.0,4969440000.0
151383,Papua New Guinea,Oil products,"Consumption by other manufacturing, construction and non-fuel",2010,1.0,2750002.2
151384,Papua New Guinea,Oil products,Consumption by transport,2010,3.0,4245970000.0
151385,Papua New Guinea,Oil products,"Consumption in agriculture, forestry and fishing",2010,1.0,1303050000.0
151386,Papua New Guinea,Oil products,Consumption in road,2010,2.0,3660370000.0
151387,Papua New Guinea,Oil products,Consumption not elsewhere specified (industry),2010,2.0,5236950000.0
151388,Papua New Guinea,Oil products,Exports,2010,0.0,0.0
151389,Papua New Guinea,Oil products,Final consumption,2010,6.0,11464820002.2
151390,Papua New Guinea,Oil products,Final energy consumption,2010,6.0,11464820002.2
151391,Papua New Guinea,Oil products,Fuel oil,2010,0.0,3441000000.0
151392,Papua New Guinea,Oil products,Gas Oil/ Diesel Oil,2010,0.0,2856000000.0
151393,Papua New Guinea,Oil products,Imports,2010,1.0,7675200000.0
151394,Papua New Guinea,Oil products,International aviation bunkers,2010,1.0,524600000.0
151395,Papua New Guinea,Oil products,International marine bunkers,2010,2.0,372670000.0
151396,Papua New Guinea,Oil products,Production,2010,0.0,7379255616.0
151397,Papua New Guinea,Oil products,Stock changes,2010,0.0,253327777.4
151398,Papua New Guinea,Oil products,Total energy supply,2010,1.0,13903857838.6
151399,Papua New Guinea,Oil products,Transfers and recycled products,2010,0.0,-3096566608.0
151400,Papua New Guinea,Oil products,Transformation,2010,0.0,6297000000.0
151401,Papua New Guinea,Oil products,"Transformation in electricity, CHP and heat plants",2010,0.0,6297000000.0
151402,Papua New Guinea,Oil products,"consumption by manufacturing, construction and non-fuel mining industry",2010,0.0,175500000.0
151403,Papua New Guinea,Oil products,"consumption by other manuf., const. and non-fuel min. ind.",2010,0.0,175500000.0
151404,Papua New Guinea,Oil products,production from refineries,2010,0.0,7379255616.0
151405,Papua New Guinea,Oil products,Consumption by domestic aviation,2011,1.0,573400000.0
151406,Papua New Guinea,Oil products,Consumption by domestic navigation,2011,1.0,61000000.0
151407,Papua New Guinea,Oil products,Consumption by households,2011,1.0,483800000.0
151408,Papua New Guinea,Oil products,Consumption by industries not elsewhere specified,2011,0.0,182205557.8
151409,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel industry",2011,0.0,183150000.0
151410,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel mining industry",2011,1.0,5091245557.8
151411,Papua New Guinea,Oil products,Consumption by other,2011,2.0,1847690000.0
151412,Papua New Guinea,Oil products,Consumption by other consumers not elsewhere specified,2011,0.0,29900000.0
151413,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel ind.",2011,0.0,183150000.0
151414,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel min. ind.",2011,1.0,5088440000.0
151415,Papua New Guinea,Oil products,"Consumption by other manufacturing, construction and non-fuel",2011,0.0,2805557.8
151416,Papua New Guinea,Oil products,Consumption by transport,2011,3.0,4434310000.0
151417,Papua New Guinea,Oil products,"Consumption in agriculture, forestry and fishing",2011,1.0,1333990000.0
151418,Papua New Guinea,Oil products,Consumption in road,2011,2.0,3799910000.0
151419,Papua New Guinea,Oil products,Consumption not elsewhere specified (industry),2011,1.0,5271590000.0
151420,Papua New Guinea,Oil products,Exports,2011,0.0,0.0
151421,Papua New Guinea,Oil products,Final consumption,2011,4.0,11735795557.8
151422,Papua New Guinea,Oil products,Final energy consumption,2011,4.0,11735795557.8
151423,Papua New Guinea,Oil products,Fuel oil,2011,0.0,3552000000.0
